niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A1 (Start Deutsch 1),so,,"böyle, bu kadar, o kadar",,Sonstiges,"Sie müssen das so machen! Fahren Sie bitte nicht so schnell! Meine Frau ist so groß wie ich. So, das war‘s/wär‘s!",so,A1_SD1.pdf
A1 (Start Deutsch 1),Sofa,das,kanepe,,Nomen,Das Sofa ist neu.,das Sofa,A1_SD1.pdf
A1 (Start Deutsch 1),sofort,,"hemen, derhal",,Sonstiges,Bitte antworten Sie sofort.,sofort,A1_SD1.pdf
A1 (Start Deutsch 1),Sohn,der,oğul,"-ö, e",Nomen,"Das ist Hans, mein Sohn.","der Sohn, -ö, e",A1_SD1.pdf
A1 (Start Deutsch 1),sollen,,"gerekmek, -meli",,Sonstiges,Soll ich kommen? Was soll ich mitbringen?,sollen,A1_SD1.pdf
A1 (Start Deutsch 1),Sonne,die,güneş,,Nomen,Die Sonne scheint.,die Sonne,A1_SD1.pdf
A1 (Start Deutsch 1),spät,,geç,,Sonstiges,"Es ist schon spät, ich muss gehen.",spät,A1_SD1.pdf
A1 (Start Deutsch 1),später,,daha sonra,,Sonstiges,Das können wir später machen.,später,A1_SD1.pdf
A1 (Start Deutsch 1),Speisekarte,die,"yemek listesi, menü",,Nomen,"Bringen Sie mir die Speisekarte, bitte.",die Speisekarte,A1_SD1.pdf
A1 (Start Deutsch 1),spielen,,oynamak,,Sonstiges,Die Kinder spielen draußen. Spielen Sie Karten?,spielen,A1_SD1.pdf
A1 (Start Deutsch 1),Sport,der,spor,,Nomen,Ich mache viel Sport.,der Sport,A1_SD1.pdf
A1 (Start Deutsch 1),Sprache,die,dil,-n,Nomen,Welche Sprachen sprichst du?,"die Sprache, -n",A1_SD1.pdf
A1 (Start Deutsch 1),sprechen,,konuşmak,,Sonstiges,Kann ich (mit) Herrn Klein sprechen?,sprechen,A1_SD1.pdf
A1 (Start Deutsch 1),Stadt,die,"şehir, kent","-ä, e",Nomen,Heidelberg ist eine alte Stadt.,"die Stadt, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),stehen,,"durmak, yazılı olmak",,Sonstiges,"Ich glaube es nicht, aber es steht in der Zeitung. Der Bus steht schon an der Haltestelle.",stehen,A1_SD1.pdf
A1 (Start Deutsch 1),Stelle,die,"iş, mevki",-n,Nomen,Ich habe eine neue Stelle.,"die Stelle, -n",A1_SD1.pdf
A1 (Start Deutsch 1),stellen,,"koymak, yerleştirmek",,Sonstiges,Stell die Tasche rechts in die Ecke!,stellen,A1_SD1.pdf
A1 (Start Deutsch 1),Stock,der,kat,,Nomen,Unsere Wohnung liegt im ersten Stock.,der Stock,A1_SD1.pdf
A1 (Start Deutsch 1),Straße,die,"sokak, cadde",-n,Nomen,In welcher Straße wohnen Sie?,"die Straße, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Straßenbahn,die,tramvay,,Nomen,Wo fährt die Straßenbahn ab?,die Straßenbahn,A1_SD1.pdf
A1 (Start Deutsch 1),studieren,,"üniversitede okumak, öğrenim görmek",,Sonstiges,Ich studiere in Mainz.,studieren,A1_SD1.pdf
A1 (Start Deutsch 1),Studium,das,"üniversite eğitimi, öğrenim",,Nomen,Das Studium beginnt im Oktober.,das Studium,A1_SD1.pdf
A1 (Start Deutsch 1),Student,der,üniversite öğrencisi,-en,Nomen,Ich bin Studentin.,"der Student, -en",A1_SD1.pdf
A1 (Start Deutsch 1),Stunde,die,"saat, ders saati",-n,Nomen,Ich bin in einer Stunde zurück.,"die Stunde, -n",A1_SD1.pdf
A1 (Start Deutsch 1),suchen,,aramak,,Sonstiges,Suchst du etwas?,suchen,A1_SD1.pdf
A1 (Start Deutsch 1),tanzen,,dans etmek,,Sonstiges,Tanzen Sie gern?,tanzen,A1_SD1.pdf
A1 (Start Deutsch 1),Tasche,die,çanta,-n,Nomen,Ich habe die Schlüssel in der Tasche.,"die Tasche, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Taxi,das,taksi,-s,Nomen,Es gibt heute keinen Bus mehr. Er fährt mit dem Taxi.,"das Taxi, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Tee,der,çay,,Nomen,Ich trinke morgens immer Tee.,der Tee,A1_SD1.pdf
A1 (Start Deutsch 1),Teil,der,"parça, bölüm",-e,Nomen,Lies bitte auch den zweiten Teil.,"der Teil, -e",A1_SD1.pdf
A1 (Start Deutsch 1),telefonieren,,telefonla konuşmak,,Sonstiges,Darf ich mal telefonieren?,telefonieren,A1_SD1.pdf
A1 (Start Deutsch 1),Telefon,das,telefon,,Nomen,Haben Sie Telefon?,das Telefon,A1_SD1.pdf
A1 (Start Deutsch 1),Termin,der,randevu,-e,Nomen,Am besten machen wir sofort einen Termin.,"der Termin, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Test,der,"test, sınav",,Nomen,Der Test war einfach.,der Test,A1_SD1.pdf
A1 (Start Deutsch 1),teuer,,pahalı,,Sonstiges,Das ist mir zu teuer.,teuer,A1_SD1.pdf
A1 (Start Deutsch 1),Text,der,metin,-e,Nomen,Lesen Sie bitte diesen Text.,"der Text, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Thema,das,konu,,Nomen,Wir sprechen heute über das Thema „Essen und Trinken“.,das Thema,A1_SD1.pdf
A1 (Start Deutsch 1),Ticket,das,bilet,-s,Nomen,Wie viel kostet das Ticket?,"das Ticket, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Tisch,der,masa,-e,Nomen,Die Fotos liegen auf dem Tisch.,"der Tisch, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Tochter,die,kız evlat,-ö,Nomen,Das ist meine Tochter Katharina.,"die Tochter, -ö",A1_SD1.pdf
A1 (Start Deutsch 1),Toilette,die,tuvalet,-en,Nomen,"Wo ist die Toilette, bitte?","die Toilette, -en",A1_SD1.pdf
A1 (Start Deutsch 1),Tomate,die,domates,-n,Nomen,Die Tomate ist noch grün.,"die Tomate, -n",A1_SD1.pdf
A1 (Start Deutsch 1),tot,,ölü,,Sonstiges,Sein Vater ist schon lange tot.,tot,A1_SD1.pdf
A1 (Start Deutsch 1),sich treffen,,buluşmak,,Sonstiges,Ich treffe in der Stadt einen Kollegen. Wir treffen uns immer freitags.,(sich) treffen,A1_SD1.pdf
A1 (Start Deutsch 1),Treppe,die,merdiven,-n,Nomen,Die Toilette? Die Treppe hoch und dann links.,"die Treppe, -n",A1_SD1.pdf
A1 (Start Deutsch 1),trinken,,içmek,,Sonstiges,Möchtest du etwas trinken?,trinken,A1_SD1.pdf
A1 (Start Deutsch 1),tschüss,,"hoşça kal, güle güle",,Sonstiges,Junge Leute sagen meistens „tschüss!“ und nicht „auf Wiedersehen“.,tschüss,A1_SD1.pdf
A1 (Start Deutsch 1),tun,,yapmak,,Sonstiges,Ich habe noch etwas zu tun. Was tut Ihr Mann?,tun,A1_SD1.pdf
A1 (Start Deutsch 1),über,,"üzerinden, karşıdan karşıya",,Sonstiges,Gehen Sie hier über die Straße. Er wohnt im zweiten Stock über Familie Meier. Sind Sie über 18?,über,A1_SD1.pdf
A1 (Start Deutsch 1),übernachten,,"gecelemek, konaklamak",,Sonstiges,Du kannst bei mir übernachten.,übernachten,A1_SD1.pdf
A1 (Start Deutsch 1),überweisen,,havale etmek,,Sonstiges,Sie können das Geld auch überweisen.,überweisen,A1_SD1.pdf
A1 (Start Deutsch 1),Uhr,die,saat,,Nomen,Es ist vier Uhr.,die Uhr,A1_SD1.pdf
A1 (Start Deutsch 1),um,,"saat ...'de, etrafında, çevresinde",,Sonstiges,Er kommt um sieben Uhr. Da kommt er gerade um die Ecke.,um,A1_SD1.pdf
A1 (Start Deutsch 1),umziehen,,taşınmak,,Sonstiges,Nächsten Monat ziehen wir um.,umziehen,A1_SD1.pdf
A1 (Start Deutsch 1),und,,ve,,Sonstiges,Peter und Helmut sind meine Söhne.,und,A1_SD1.pdf
A1 (Start Deutsch 1),unser-,,bizim,,Sonstiges,Das ist unsere Lehrerin.,unser-,A1_SD1.pdf
A1 (Start Deutsch 1),unten,,aşağıda,,Sonstiges,Er wohnt ganz unten im Haus.,unten,A1_SD1.pdf
A1 (Start Deutsch 1),unter,,altında,,Sonstiges,Unter uns wohnt eine Familie mit drei Kindern.,unter,A1_SD1.pdf
A1 (Start Deutsch 1),Unterricht,der,ders,,Nomen,Wir haben Unterricht von 8.00 bis 12.00 Uhr.,der Unterricht,A1_SD1.pdf
A1 (Start Deutsch 1),unterschreiben,,imzalamak,,Sonstiges,Wo muss ich unterschreiben?,unterschreiben,A1_SD1.pdf
A1 (Start Deutsch 1),Unterschrift,die,imza,,Nomen,Hier fehlt noch Ihre Unterschrift.,die Unterschrift,A1_SD1.pdf
A1 (Start Deutsch 1),Urlaub,der,"tatil, izin",,Nomen,Ich nehme im September Urlaub.,der Urlaub,A1_SD1.pdf
A1 (Start Deutsch 1),Vater,der,baba,-ä,Nomen,Mein Vater ist Arbeiter.,"der Vater, -ä",A1_SD1.pdf
A1 (Start Deutsch 1),verboten,,yasak,,Sonstiges,Hier ist Rauchen verboten.,verboten,A1_SD1.pdf
A1 (Start Deutsch 1),verdienen,,kazanmak,,Sonstiges,Ich verdiene 1.500 Euro im Monat.,verdienen,A1_SD1.pdf
A1 (Start Deutsch 1),Verein,der,"dernek, kulüp",,Nomen,Es gibt einen neuen Sportverein in der Stadt.,der Verein,A1_SD1.pdf
A1 (Start Deutsch 1),verheiratet,,evli,,Sonstiges,Ich bin verheiratet und habe drei Kinder.,verheiratet,A1_SD1.pdf
A1 (Start Deutsch 1),verkaufen,,satmak,,Sonstiges,Er verkauft sein altes Auto.,verkaufen,A1_SD1.pdf
A1 (Start Deutsch 1),Verkäufer,der,satıcı,–,Nomen,Meine Mutter ist Verkäuferin im Kaufhaus.,"der Verkäufer, –",A1_SD1.pdf
A1 (Start Deutsch 1),vermieten,,kiraya vermek,,Sonstiges,Die Wohnung ist schon vermietet.,vermieten,A1_SD1.pdf
A1 (Start Deutsch 1),Vermieter,der,"ev sahibi, kiraya veren",,Nomen,Unser Vermieter heißt Huber. Er wohnt auch hier.,der Vermieter,A1_SD1.pdf
A1 (Start Deutsch 1),verstehen,,anlamak,,Sonstiges,Können Sie mich verstehen?,verstehen,A1_SD1.pdf
A1 (Start Deutsch 1),Verwandte,der,akraba,-n,Nomen,Peter besucht seine Verwandten in Polen.,"der Verwandte, -n",A1_SD1.pdf
A1 (Start Deutsch 1),viel,,çok,,Sonstiges,Hier regnet es viel.,viel,A1_SD1.pdf
A1 (Start Deutsch 1),vielleicht,,belki,,Sonstiges,Ich komme vielleicht mit dem Bus.,vielleicht,A1_SD1.pdf
A1 (Start Deutsch 1),von,,"-den/-dan, tarafından",,Sonstiges,Das Auto von Felix ist kaputt. Er kommt gerade von Köln/von zu Hause.,von,A1_SD1.pdf
A1 (Start Deutsch 1),vor,,"önünde, önce",,Sonstiges,Der Termin war vor einer Stunde. Das Auto steht vor der Tür.,vor,A1_SD1.pdf
A1 (Start Deutsch 1),Vorname,der,"ad, isim",-n,Nomen,"Ich heiße Müller, mein Vorname ist Eva.","der Vorname, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Vorsicht,die,dikkat,,Nomen,Vorsicht! Da kommt ein Auto.,die Vorsicht,A1_SD1.pdf
A1 (Start Deutsch 1),sich vorstellen,,kendini tanıtmak,,Sonstiges,Wir wollen uns kennenlernen. Können Sie sich bitte vorstellen?,(sich) vorstellen,A1_SD1.pdf
A1 (Start Deutsch 1),Vorwahl,die,alan kodu,,Nomen,Wie ist die Vorwahl von München?,die Vorwahl,A1_SD1.pdf
A1 (Start Deutsch 1),wandern,,"yürüyüş yapmak, doğa yürüyüşüne çıkmak",,Sonstiges,Wir wandern um den Chiemsee.,wandern,A1_SD1.pdf
A1 (Start Deutsch 1),wann,,ne zaman,,Sonstiges,Wann bist du fertig? Wann kann ich Sie anrufen? Wann sind Sie geboren?,wann,A1_SD1.pdf
A1 (Start Deutsch 1),warten,,beklemek,,Sonstiges,Können Sie ein paar Minuten warten? Auf wen warten Sie?,warten,A1_SD1.pdf
A1 (Start Deutsch 1),warum,,"neden, niçin",,Sonstiges,Warum kommt er nicht?,warum,A1_SD1.pdf
A1 (Start Deutsch 1),was,,ne,,Sonstiges,Was ist das? Was möchten Sie?,was,A1_SD1.pdf
A1 (Start Deutsch 1),was für ein,,"ne tür bir, nasıl bir",,Sonstiges,Was für eine Farbe möchten Sie?,was für ein,A1_SD1.pdf
A1 (Start Deutsch 1),sich waschen,,yıkanmak,,Sonstiges,Wo kann ich mir die Hände waschen? Ich muss morgen waschen.,(sich) waschen,A1_SD1.pdf
A1 (Start Deutsch 1),Wasser,das,su,,Nomen,"Ein Glas Wasser, bitte.",das Wasser,A1_SD1.pdf
A1 (Start Deutsch 1),weh tun,,"acımak, ağrımak",,Sonstiges,Ich muss zum Arzt. Mein Bein tut weh.,weh tun,A1_SD1.pdf
A1 (Start Deutsch 1),weiblich,,"kadın, dişi",,Sonstiges,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,weiblich,A1_SD1.pdf
A1 (Start Deutsch 1),Wein,der,şarap,,Nomen,"Nein danke, ich möchte keinen Wein.",der Wein,A1_SD1.pdf
A1 (Start Deutsch 1),weit,,uzak,,Sonstiges,Zum Bahnhof ist es nicht weit.,weit,A1_SD1.pdf
A1 (Start Deutsch 1),weiter,,"daha, ileri",,Sonstiges,Der Bus fährt nicht weiter.,weiter,A1_SD1.pdf
A1 (Start Deutsch 1),welch-,,hangi,,Sonstiges,Welches Buch möchtest du?,welch-,A1_SD1.pdf
A1 (Start Deutsch 1),Welt,die,dünya,,Nomen,Es gibt viele Probleme auf der Welt.,die Welt,A1_SD1.pdf
A1 (Start Deutsch 1),wenig,,az,,Sonstiges,Ich habe leider nur wenig verstanden. Er verdient wenig.,wenig,A1_SD1.pdf
A1 (Start Deutsch 1),wer,,kim,,Sonstiges,Wer ist das?,wer,A1_SD1.pdf
A1 (Start Deutsch 1),werden,,"olmak, haline gelmek",,Sonstiges,Mein Sohn will Arzt werden.,werden,A1_SD1.pdf
A1 (Start Deutsch 1),Wetter,das,"hava, hava durumu",,Nomen,Wir hatten schlechtes Wetter.,das Wetter,A1_SD1.pdf
A1 (Start Deutsch 1),wichtig,,önemli,,Sonstiges,Dieses Formular ist sehr wichtig.,wichtig,A1_SD1.pdf
A1 (Start Deutsch 1),wie,,"nasıl, gibi",,Sonstiges,Wie heißt du? Er schreibt wie ein Kind. Meine Frau ist so groß wie ich. Wie soll ich das machen? Wie groß ist die Wohnung? Wie bitte? Wie lange bist du schon hier?,wie,A1_SD1.pdf
A1 (Start Deutsch 1),wiederholen,,tekrarlamak,,Sonstiges,Können Sie das bitte wiederholen?,wiederholen,A1_SD1.pdf
A1 (Start Deutsch 1),Wiederhören,das,duyuşmak üzere,,Nomen,Wir müssen jetzt Schluss machen. Also auf Wiederhören!,das Wiederhören,A1_SD1.pdf
A1 (Start Deutsch 1),Wiedersehen,das,"tekrar görüşme, yeniden buluşma",,Nomen,Auf Wiedersehen!,das Wiedersehen,A1_SD1.pdf
A1 (Start Deutsch 1),wie viel,,"ne kadar, kaç",,Sonstiges,Wie viel Milch nehmen Sie?,wie viel,A1_SD1.pdf
A1 (Start Deutsch 1),willkommen,,"hoş geldin, hoş geldiniz",,Sonstiges,Herzlich willkommen!,willkommen,A1_SD1.pdf
A1 (Start Deutsch 1),Wind,der,rüzgar,,Nomen,Der Wind kommt aus Osten.,der Wind,A1_SD1.pdf
A1 (Start Deutsch 1),wir,,biz,,Sonstiges,Wir lernen Deutsch.,wir,A1_SD1.pdf
A1 (Start Deutsch 1),wissen,,bilmek,,Sonstiges,"Weißt du, wie er heißt?",wissen,A1_SD1.pdf
A1 (Start Deutsch 1),wo,,nerede,,Sonstiges,Wo waren Sie im Urlaub? Wo ist die Post? Wo sind Sie geboren?,wo,A1_SD1.pdf
A1 (Start Deutsch 1),woher,,nereden,,Sonstiges,Woher kommen Sie?,woher,A1_SD1.pdf
A1 (Start Deutsch 1),wohin,,nereye,,Sonstiges,Wohin fährt dieser Bus? Wohin wollen Sie am Wochenende?,wohin,A1_SD1.pdf
A1 (Start Deutsch 1),wohnen,,"oturmak, yaşamak, ikamet etmek",,Sonstiges,Ich wohne in München.,wohnen,A1_SD1.pdf
A1 (Start Deutsch 1),Wohnung,die,"daire, ev",-en,Nomen,Seit wann haben Sie diese Wohnung?,"die Wohnung, -en",A1_SD1.pdf
A1 (Start Deutsch 1),wollen,,istemek,,Sonstiges,Wollen Sie einen Kaffee trinken?,wollen,A1_SD1.pdf
A1 (Start Deutsch 1),Wort,das,"kelime, sözcük","-ö, er/-e",Nomen,Ich kenne das Wort nicht.,"das Wort, -ö, er/-e",A1_SD1.pdf
A1 (Start Deutsch 1),wunderbar,,"harika, mükemmel",,Sonstiges,Das Essen schmeckt wunderbar.,wunderbar,A1_SD1.pdf
A1 (Start Deutsch 1),zahlen,,ödemek,,Sonstiges,"Zahlen, bitte!",zahlen,A1_SD1.pdf
A1 (Start Deutsch 1),Zeit,die,"zaman, vakit",,Nomen,Ich habe heute keine Zeit.,die Zeit,A1_SD1.pdf
A1 (Start Deutsch 1),zurzeit,,"şu anda, şu sırada",,Sonstiges,Zurzeit habe ich sehr viel zu tun.,zurzeit,A1_SD1.pdf
A1 (Start Deutsch 1),Zeitung,die,gazete,-en,Nomen,Ich lese gern Zeitung.,"die Zeitung, -en",A1_SD1.pdf
A1 (Start Deutsch 1),Zigarette,die,sigara,-n,Nomen,Wie teuer sind die Zigaretten?,"die Zigarette, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Zimmer,das,oda,–,Nomen,"Das Zimmer ist groß. Öffne im Schlafzimmer das Fenster, bitte! Die Wohnung hat drei Zimmer. Ich habe ein Zimmer bestellt.","das Zimmer, –",A1_SD1.pdf
A1 (Start Deutsch 1),Zoll,der,gümrük,,Nomen,Wir müssen noch durch den Zoll.,der Zoll,A1_SD1.pdf
A1 (Start Deutsch 1),zu,,"çok, fazla; -e, -a",,Sonstiges,Der Bus fährt zum Bahnhof. Ich gehe zu Fuß. Ich bin zu Hause.,zu,A1_SD1.pdf
A1 (Start Deutsch 1),zufrieden,,memnun,,Sonstiges,Ich bin mit der Wohnung zufrieden.,zufrieden,A1_SD1.pdf
A1 (Start Deutsch 1),Zug,der,tren,"-ü, e",Nomen,Ich fahre gern mit dem Zug.,"der Zug, -ü, e",A1_SD1.pdf
A1 (Start Deutsch 1),zurück,,geri,,Sonstiges,Einmal Frankfurt und zurück. Wann kommst du zurück?,zurück,A1_SD1.pdf
A1 (Start Deutsch 1),zusammen,,birlikte,,Sonstiges,Sollen wir zusammen essen gehen? Das macht zusammen 2 Euro 80.,zusammen,A1_SD1.pdf
A1 (Start Deutsch 1),zwischen,,arasında,,Sonstiges,Heidelberg liegt zwischen Frankfurt und Stuttgart. Zwischen 8 und 10 Uhr bin ich zu Hause.,zwischen,A1_SD1.pdf
